,0
0,356.5
1,261.09
2,230.35
3,270.94
4,353.39
5,528.15
6,524.15
7,610.79
8,663.42
9,797.79
10,685.4
11,772.36
12,690.84
13,546.64
14,459.6
15,329.44
16,635.31
17,713.85
18,1028.54
19,1181.33
20,1195.61
21,1062.26
22,650.73
23,545.25
24,394.43
25,251.96
26,95.45
27,219.8
28,187.36
29,318.45
30,350.99
31,484.7
32,509.59
33,554.65
34,466.87
35,478.44
36,532.12
37,504.55
38,449.98
39,363.11
40,539.76
41,772.38
42,630.81
43,862.07
44,902.54
45,593.71
46,490.64
47,521.97
48,446.27
49,265.47
50,185.17
51,246.06
52,290.1
53,499.52
54,504.47
55,489.11
56,654.92
57,740.69
58,694.39
59,807.11
60,563.8
61,496.27
62,424.29
63,492.34
64,634.75
65,1070.46
66,1041.18
67,871.56
68,1089.76
69,950.8
70,892.35
71,621.07
72,361.36
73,353.19
74,225.33
75,173.91
76,209.43
77,381.81
78,529.97
79,451.21
80,524.21
81,534.59
82,873.1
83,646.31
84,511.74
85,479.99
86,456.86
87,390.78
88,415.52
89,689.91
90,1037.6
91,1042.37
92,879.12
93,875.86
94,716.34
95,563.01
96,305.12
97,271.78
98,169.89
99,234.16
100,209.82
101,445.88
102,406.11
103,384.64
104,573.26
105,610.19
106,582.09
107,494.7
108,374.3
109,525.62
110,327.64
111,516.07
112,396.15
113,686.21
114,752.31
115,913.93
116,856.6
117,584.34
118,618.2
119,512.13
120,415.17
121,271.9
122,194.53
123,156.09
124,313.31
125,430.19
126,516.44
127,473.94
128,458.09
129,516.03
130,629.06
131,473.26
132,402.5
133,478.58
134,359.2
135,470.84
136,509.37
137,735.52
138,670.8
139,970.46
140,815.54
141,663.41
142,694.2
143,461.4
144,272.12
145,228.24
146,199.23
147,136.97
148,203.6
149,320.82
150,290.61
151,361.42
152,447.19
153,475.04
154,649.56
155,413.16
156,236.92
157,298.99
158,298.11
159,279.28
160,551.56
161,525.86
162,521.75
163,788.58
164,749.51
165,305.37
166,493.42
167,354.97
168,363.24
169,317.89
170,183.52
171,178.08
172,272.12
173,315.19
174,505.81
175,510.57
176,617.39
177,670.54
178,790.1
179,757.57
180,485.39
181,543.35
182,461.07
183,427.1
184,642.05
185,782.08
186,966.49
187,1231.71
188,1131.96
189,864.97
190,758.58
191,351.0
192,430.52
193,328.81
194,224.53
195,225.78
196,310.4
197,346.85
198,564.84
199,669.56
200,708.15
201,782.37
202,659.53
203,631.19
204,748.56
205,501.89
206,443.47
207,551.29
208,725.14
209,771.38
210,1254.66
211,1436.61
212,1308.32
213,655.91
214,776.28
215,572.49
216,329.02
217,249.08
218,186.55
219,194.67
220,234.38
221,382.68
222,478.33
223,438.31
224,638.2
225,648.26
226,747.13
227,808.15
228,482.51
229,525.94
230,431.78
231,472.6
232,413.57
233,798.86
234,1020.7
235,1265.57
236,792.34
237,1021.31
238,651.52
239,380.27
240,309.41
241,353.23
242,212.3
243,178.95
244,168.15
245,445.08
246,620.15
247,433.81
248,523.17
249,739.97
250,501.28
251,619.06
252,507.67
253,498.08
254,455.08
255,407.77
256,517.77
257,816.4
258,1073.6
259,1128.9
260,1083.81
261,717.61
262,579.81
263,546.08
264,383.04
265,286.5
266,198.48
267,187.75
268,275.3
269,317.45
270,560.73
271,540.54
272,562.14
273,755.47
274,436.68
275,671.75
276,692.03
277,673.07
278,441.65
279,514.12
280,564.46
281,622.49
282,966.23
283,1314.17
284,1146.3
285,933.0
286,738.17
287,501.12
288,282.19
289,245.17
290,219.96
291,177.44
292,209.86
293,224.79
294,594.91
295,469.03
296,634.07
297,469.31
298,625.97
299,498.87
300,386.43
301,353.79
302,391.43
303,321.65
304,432.31
305,884.95
306,879.45
307,1110.57
308,956.77
309,835.79
310,544.92
311,548.62
312,474.87
313,285.5
314,187.35
315,175.45
316,274.05
317,326.98
318,578.74
319,644.95
320,720.58
321,639.99
322,579.77
323,522.26
324,435.56
325,477.88
326,422.83
327,422.82
328,469.25
329,807.76
330,968.41
331,832.4
332,1247.1
333,1109.77
334,789.53
335,363.25
336,346.54
337,344.78
