,0
0,8544712
1,8407637
2,8252015
3,8175403
4,8026567
5,7931610
6,7784048
7,7699243
8,7578894
9,7460726
10,7345498
11,7259420
12,7170876
13,7093953
14,7033110
15,7004169
16,6971887
17,6916582
18,6884069
19,6889125
20,6883348
21,6899706
22,6891479
23,6921229
24,6906072
25,6906822
26,6870704
27,6715510
28,6655971
29,6661903
30,6657760
31,6683399
32,6714870
33,6652192
34,6628465
35,6685089
36,6707891
37,6745685
38,6792238
39,6860916
40,6906350
41,6968875
42,7033694
43,7079771
44,7121542
45,7188649
46,7233402
47,7277486
48,7301998
49,7311213
50,7308272
51,7295524
52,7282410
53,7277624
54,7282055
55,7332873
56,7331584
57,7416933
58,7431548
59,7418660
60,7396050
61,7416940
62,7459790
63,7470285
64,7511765
65,7585538
66,7823217
67,8008280
68,8124520
69,8226711
70,8274412
71,8331662
72,8318374
73,8364114
74,8369423
75,8359731
76,8299723
77,8295395
78,8286533
79,8232787
80,8144970
81,8091019
82,8018016
83,7967415
84,7922525
85,7880432
86,7897174
87,8148404
88,8331219
89,8398774
90,8338166
91,8488404
92,8361677
93,8210602
94,8049841
95,7722588
96,7566714
97,7458573
98,7407551
99,7236398
100,7182825
101,7046719
102,6964978
103,6934069
104,6873831
105,6815025
106,6751904
107,6712696
108,6686991
109,6654368
110,6709789
111,6735019
112,6777286
113,6845330
114,6985392
115,7090593
116,7196532
117,7370499
118,7719486
119,7820000
120,7947782
121,8100815
122,8159092
123,8294195
124,8422198
125,8634856
126,8759195
127,8942681
128,9040826
129,9063397
130,9265107
131,9268374
132,9392274
133,9474912
134,9435769
135,9477765
136,9411495
137,9405710
138,9436513
139,9395381
140,9352538
141,9370442
142,9315213
143,9340755
144,9319010
145,9293132
146,9325881
147,9369941
148,9381849
149,9318996
150,9297402
151,9295040
152,9399787
153,9403244
154,9471501
155,9574031
156,9595981
157,9638783
158,9742299
159,9690445
160,9765256
161,9991691
162,10341293
163,10545761
164,10779938
165,10771336
166,10725700
167,10569292
168,10631657
169,10502138
170,10380261
171,10183474
172,10100916
173,10012007
174,9803793
175,9684494
176,9520194
177,9521445
178,9370197
179,9273800
180,9147888
181,9069638
182,9304480
183,9522090
184,9674700
185,9583081
186,9728930
187,9564623
188,9324205
189,9061829
190,8801980
191,8657095
192,8406274
193,8309448
194,8073515
195,8033627
196,7876302
197,7885430
198,7868011
199,7776403
200,7675040
201,7576831
202,7527104
203,7571236
204,7511767
205,7461680
206,7479231
207,7636815
208,7693312
209,7740270
210,7814473
211,7942696
212,8030328
213,8315347
214,8467136
215,8652288
216,8821963
217,8756231
218,9011374
219,9223739
220,9444544
221,9521963
222,9761736
223,9851031
224,9759139
225,9883389
226,9860138
227,9893913
228,9907407
229,9836886
230,9726119
231,9670270
232,9649097
233,9536983
234,9580897
235,9541344
236,9560313
237,9678494
238,9607076
239,9673466
240,9597584
241,9588599
242,9613601
243,9516367
244,9486385
245,9374866
246,9434931
247,9426002
248,9286161
249,9402247
250,9501011
251,9502015
252,9587211
253,9658479
254,9662159
255,9770609
256,10056575
257,10277770
258,10330860
259,10542193
260,10656562
261,10645696
262,10465440
263,10342083
264,10269280
265,10272248
266,10125582
267,9952248
268,9817011
269,9795870
270,9509068
271,9462553
272,9354957
273,9197310
274,9190789
275,9007751
276,8886674
277,9105574
278,9524976
279,9568169
280,9496222
281,9655269
282,9471469
283,9336400
284,9284830
285,8923353
286,8677301
287,8472454
288,8464222
289,8278450
290,8177498
291,8004415
292,7969972
293,7833122
294,7708944
295,7635938
296,7611246
297,7636161
298,7632818
299,7481221
300,7507803
301,7524883
302,7505406
303,7475015
304,7461592
305,7411191
306,7523867
307,7599885
308,7716456
309,7692572
310,7797174
311,7828973
312,7781718
313,7796582
314,8076147
315,8197012
316,8351708
317,8446123
318,8499629
319,8665093
320,8768608
321,8804779
322,8948368
323,8903841
324,8998136
325,8960575
326,8972659
327,9009698
328,9076010
329,9139154
330,9188505
331,9330566
332,9285888
333,9353155
334,9184311
335,9140191
336,9202678
337,9103951
338,9076571
339,9122092
340,8937018
341,9018619
342,8934264
343,8918930
344,8986995
345,8932257
346,8979986
347,9023108
348,9145125
349,9090986
350,9230197
351,9419486
352,9726035
353,9826597
354,10025885
355,10152488
356,10119584
357,10117555
358,10006509
359,10052292
360,9856417
361,9812010
362,9722719
363,9583044
364,9461310
365,9402277
366,9263540
367,9066156
368,9014832
369,8913032
370,8946316
371,8725543
372,9009347
373,9151806
374,9225871
375,9183684
376,9351642
377,9289203
378,9088663
379,8905139
380,8633236
381,8591476
382,8415332
383,8363406
384,8114937
385,8068143
386,7912675
387,7842473
388,7778387
389,7632351
390,7517465
391,7514029
392,7573059
393,7505836
394,7486687
395,7469135
396,7411609
397,7539962
398,7459484
