,361机务完成,365加油完成 缺失较多,368开客舱,369上轮档,370登机结束,378 配餐开始 8个,379清洁开始,380撤梯桥,637关客舱,641 靠梯桥,644 清洁完成,645开货仓,655 配餐完成,660 机务完成,662登机开始,668关货仓 ,669 撤轮档,date,flight,缺失个数
0,-1,-1,-1,516,-1,-1,-1,-1,-1,517,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3844,22
1,-1,-1,237,237,-1,-1,-1,-1,-1,236,-1,242,-1,-1,-1,-1,-1,2017/7/18,AQ1036,18
2,-1,-1,93,95,-1,-1,-1,-1,-1,95,-1,92,-1,-1,-1,-1,-1,2017/7/18,MU5303,17
3,-1,-1,-1,682,-1,-1,-1,-1,-1,685,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3418,23
4,677,767,-1,440,-1,-1,-1,-1,-1,441,-1,-1,-1,775,-1,-1,-1,2017/7/18,CZ3106,19
5,-1,-1,494,493,-1,-1,-1,-1,-1,495,-1,497,-1,-1,-1,-1,-1,2017/7/18,PN6253,17
6,-1,-1,131,131,-1,-1,-1,-1,-1,130,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3932,22
7,567,-1,194,192,-1,-1,-1,-1,-1,195,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3524,20
8,-1,-1,560,560,-1,-1,-1,-1,-1,561,-1,562,-1,-1,-1,-1,-1,2017/7/18,9C8835,18
9,-1,-1,665,664,-1,-1,-1,-1,-1,665,-1,667,-1,-1,-1,-1,-1,2017/7/18,MU2947,17
10,735,-1,707,707,774,-1,-1,65,65,708,730,-1,-1,-1,754,-1,72,2017/7/18,CZ394,15
11,-1,-1,-1,264,-1,-1,-1,-1,-1,266,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6261,21
12,606,605,731,716,-1,-1,-1,-1,-1,716,601,-1,-1,602,-1,-1,-1,2017/7/18,CZ6749,16
13,-1,-1,65,63,-1,-1,-1,277,-1,63,-1,62,-1,-1,-1,-1,-1,2017/7/18,AQ1052,17
14,-1,-1,601,599,-1,-1,-1,-1,-1,598,-1,603,-1,-1,-1,-1,-1,2017/7/18,JD5270,17
15,362,467,-1,83,-1,-1,-1,-1,-1,380,463,-1,-1,458,-1,-1,-1,2017/7/18,CZ3906,19
16,-1,-1,773,773,-1,-1,-1,145,-1,776,-1,773,-1,-1,-1,-1,-1,2017/7/18,HU7714,16
17,-1,-1,605,604,-1,-1,-1,-1,-1,602,-1,605,-1,-1,-1,-1,-1,2017/7/18,CA4319,17
18,-1,-1,665,662,-1,-1,-1,-1,-1,663,-1,664,-1,-1,-1,-1,-1,2017/7/18,HU7142,18
19,-1,-1,422,422,-1,-1,-1,-1,-1,422,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ8316,22
20,-1,-1,163,153,-1,-1,-1,-1,-1,155,-1,164,-1,-1,-1,-1,-1,2017/7/18,AQ1024,18
21,-1,-1,-1,524,-1,-1,-1,583,-1,524,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3330,20
22,408,-1,-1,571,-1,-1,-1,-1,-1,575,135,-1,-1,160,-1,-1,-1,2017/7/18,CZ3395,19
23,142,208,-1,532,-1,-1,-1,765,-1,532,-1,-1,-1,86,-1,-1,-1,2017/7/18,CZ3104,18
24,-1,-1,-1,668,-1,-1,-1,-1,-1,672,160,-1,-1,160,704,-1,-1,2017/7/18,CZ361,19
25,-1,-1,79,74,-1,-1,-1,-1,-1,75,-1,77,-1,-1,-1,-1,-1,2017/7/18,MU2284,17
26,-1,-1,460,460,-1,-1,-1,-1,-1,459,-1,460,-1,-1,-1,-1,-1,2017/7/18,JD5132,18
27,-1,-1,257,257,-1,-1,-1,-1,-1,256,-1,265,-1,-1,-1,-1,-1,2017/7/18,MS958,18
28,469,-1,-1,177,-1,-1,-1,-1,-1,180,-1,-1,-1,500,-1,-1,-1,2017/7/18,CZ6957,20
29,436,491,-1,560,-1,-1,-1,-1,-1,562,440,-1,-1,438,-1,-1,-1,2017/7/18,CZ3297,17
30,-1,-1,-1,724,-1,-1,-1,-1,-1,726,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3796,22
31,-1,-1,106,105,-1,-1,-1,-1,-1,105,-1,110,-1,-1,-1,-1,-1,2017/7/18,GA896,18
32,-1,-1,759,757,-1,-1,-1,-1,-1,757,-1,757,-1,-1,-1,-1,-1,2017/7/18,HU7321,17
33,-1,-1,-1,360,-1,-1,-1,-1,-1,363,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3416,23
34,-1,-1,-1,578,-1,-1,-1,760,-1,578,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3700,21
35,-1,-1,68,711,-1,-1,-1,-1,-1,712,-1,68,-1,-1,-1,-1,-1,2017/7/18,FM9349,18
36,460,-1,-1,79,-1,-1,-1,-1,-1,80,481,-1,-1,391,-1,-1,-1,2017/7/18,CZ3971,20
37,424,438,-1,573,-1,-1,-1,-1,-1,577,428,-1,-1,441,-1,-1,-1,2017/7/18,CZ3895,17
38,-1,-1,692,690,-1,-1,-1,740,-1,500,-1,693,-1,-1,-1,-1,-1,2017/7/18,FM9313,16
39,-1,-1,-1,229,-1,-1,-1,-1,-1,233,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3404,23
40,735,-1,751,749,83,-1,-1,93,93,750,773,-1,-1,773,60,-1,105,2017/7/18,CZ362,13
41,-1,-1,95,91,-1,-1,-1,167,-1,91,-1,99,-1,-1,-1,-1,-1,2017/7/18,HU7236,17
42,-1,-1,239,240,-1,-1,-1,-1,-1,238,-1,242,-1,-1,-1,-1,-1,2017/7/18,HU442,18
43,-1,-1,-1,593,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3218,22
44,-1,-1,324,321,-1,-1,-1,-1,-1,325,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ600,22
45,-1,-1,348,348,-1,-1,-1,-1,-1,348,-1,351,-1,-1,-1,-1,-1,2017/7/18,MU5307,17
46,-1,-1,612,611,-1,-1,-1,-1,-1,612,-1,625,-1,-1,-1,-1,-1,2017/7/18,MU2260,17
47,-1,-1,-1,697,-1,-1,-1,-1,-1,698,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6916,23
48,-1,-1,-1,396,-1,-1,-1,-1,-1,399,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3518,23
49,-1,-1,-1,218,-1,-1,-1,-1,-1,219,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3490,22
50,-1,-1,384,384,-1,-1,-1,-1,-1,384,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6090,22
