,Unnamed: 0,Unnamed: 0.1,361机务完成,365加油完成 缺失较多,368开客舱,369上轮档,370登机结束,378 配餐开始 8个,379清洁开始,380撤梯桥,637关客舱,641 靠梯桥,644 清洁完成,645开货仓,655 配餐完成,660 机务完成,662登机开始,668关货仓 ,669 撤轮档,date,flight,缺失个数,begin,count
0,0,0,-1,-1,-1,516,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3844,22,0,1
2,2,2,-1,-1,2,95,-1,-1,-1,-1,-1,0,-1,3,-1,-1,-1,-1,-1,2017/7/18,MU5303,17,0,1
6,6,6,-1,-1,0,131,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3932,22,0,1
17,17,17,-1,-1,-1,604,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CA4319,17,0,1
19,19,19,-1,-1,0,422,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ8316,22,0,1
26,26,26,-1,-1,0,460,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,2017/7/18,JD5132,18,0,1
43,43,43,-1,-1,-1,593,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3218,22,0,1
47,47,47,-1,-1,-1,697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6916,23,0,1
49,49,49,-1,-1,-1,218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3490,22,0,1
50,50,50,-1,-1,0,384,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6090,22,0,1
51,51,51,-1,-1,-1,177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3812,23,0,1
54,54,54,-1,-1,-1,674,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3716,23,0,1
55,55,55,-1,-1,-1,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3802,22,0,1
62,62,62,-1,-1,-1,264,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6058,23,0,1
63,63,63,-1,-1,0,383,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ6068,21,0,1
68,68,68,-1,-1,-1,753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3484,22,0,1
73,73,73,-1,-1,0,452,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ374,21,0,1
74,74,74,-1,-1,14,297,-1,-1,-1,-1,-1,15,-1,12,-1,-1,-1,-1,-1,2017/7/18,CA1837,18,0,1
75,75,75,-1,-1,8,637,-1,-1,-1,-1,-1,10,-1,4,-1,-1,-1,-1,-1,2017/7/18,CA4305,17,0,1
76,76,76,-1,-1,-1,673,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3379,23,0,1
86,86,86,-1,-1,6,486,-1,-1,-1,-1,-1,6,-1,5,-1,-1,-1,-1,-1,2017/7/18,MU5311,17,0,1
89,89,89,-1,-1,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,HO1287,18,0,1
91,91,91,-1,-1,-1,230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017/7/18,CZ3224,23,0,1
