date,p,sale,collcet,cn_add,cn_z,picture,opening_hours,hp,tk,NNN
2016/5/24,22.80 ,60,1823,6852,110,497,8,1.0000 ,0.22 ,1
2016/5/27,22.80 ,60,1823,6852,110,497,8,1.0000 ,0.22 ,1
2016/5/30,22.80 ,60,1824,6852,110,497,8,1.0000 ,0.22 ,1
2016/6/2,19.90 ,60,1828,6852,110,497,8,0.7000 ,0.16 ,1
2016/6/5,19.90 ,60,1828,6852,110,497,8,0.7000 ,0.16 ,1
2016/6/8,19.90 ,60,1827,6852,110,497,8,1.0000 ,0.13 ,1
2016/6/11,19.90 ,60,1829,6852,110,497,8,0.6667 ,0.13 ,1
2016/6/14,19.90 ,60,1834,6852,110,497,8,1.0000 ,0.12 ,1
2016/6/17,19.90 ,186,1850,6856,110,497,8,0.6667 ,0.14 ,1
2016/6/20,19.90 ,333,1862,6871,111,497,8,0.7500 ,0.14 ,1
2016/6/23,19.90 ,386,1871,6887,111,500,8,0.5714 ,0.15 ,9
2016/6/26,19.90 ,428,1880,6914,111,500,8,0.5000 ,0.16 ,12
2016/6/29,19.90 ,501,1895,6929,112,500,8,1.0000 ,0.16 ,3
2016/7/2,19.90 ,565,1908,6945,112,501,8,0.7333 ,0.16 ,6
2016/7/5,19.90 ,649,1923,6945,112,501,8,0.8636 ,0.19 ,8
2016/7/8,19.90 ,690,1930,6981,113,502,8,0.7500 ,0.24 ,8
2016/7/11,19.90 ,741,1939,6992,113,502,8,0.7000 ,0.25 ,4
2016/7/14,19.90 ,713,1946,7006,113,503,8,0.6667 ,0.28 ,9
2016/7/17,19.90 ,645,1953,7022,113,504,8,0.7778 ,0.29 ,6
2016/7/20,22.80 ,544,1970,7050,113,505,8,0.8750 ,0.30 ,6
2016/7/23,22.80 ,544,1970,7050,113,505,8,0.8750 ,0.30 ,8
2016/7/26,19.90 ,607,1982,7058,113,505,9,0.8750 ,0.26 ,5
2016/7/29,22.80 ,700,2001,7070,113,507,9,0.8750 ,0.22 ,7
2016/8/1,22.80 ,720,2013,7093,114,507,9,0.8750 ,0.22 ,13
2016/8/4,19.90 ,734,2024,7107,114,507,9,0.8750 ,0.23 ,7
2016/8/7,19.90 ,827,2033,7135,114,510,9,0.8750 ,0.21 ,17
2016/8/10,19.90 ,852,2041,7158,115,512,9,0.8750 ,0.21 ,11
2016/8/13,19.90 ,940,2069,7184,115,514,9,0.8750 ,0.21 ,4
2016/8/16,19.90 ,1033,2092,7215,117,515,9,0.8750 ,0.20 ,14
2016/8/19,22.80 ,1165,2113,7248,118,517,9,0.8750 ,0.21 ,12
2016/8/22,22.80 ,1165,2113,7248,118,517,9,0.8750 ,0.21 ,12
2016/8/25,22.80 ,1352,2162,7327,119,520,9,0.8750 ,0.22 ,13
2016/8/28,19.90 ,1321,2181,7362,119,525,9,0.8750 ,0.24 ,21
2016/8/31,19.90 ,1417,2203,7399,119,527,9,1.0000 ,0.23 ,14
2016/9/3,22.80 ,3224,2219,7431,120,531,9,0.6000 ,0.22 ,16
2016/9/6,19.90 ,1328,2235,7442,120,531,9,0.6000 ,0.22 ,13
2016/9/9,19.90 ,1420,2252,7436,120,531,9,0.6000 ,0.23 ,11
2016/9/12,19.90 ,1392,2269,7453,122,534,9,0.6000 ,0.19 ,19
2016/9/15,19.90 ,1393,2286,7435,120,533,9,0.6000 ,0.20 ,8
2016/9/18,19.90 ,1323,8691,7435,120,533,9,0.6000 ,0.21 ,8
2016/9/21,19.90 ,1224,2312,7402,117,535,9,0.6000 ,0.21 ,16
2016/9/24,19.90 ,1175,2317,7379,117,535,9,0.6000 ,0.23 ,5
2016/9/27,19.90 ,1099,2323,7367,116,535,9,0.6000 ,0.25 ,9
2016/9/30,19.90 ,998,2340,7345,116,533,9,0.5714 ,0.26 ,7
2016/10/3,19.90 ,908,2347,7335,116,533,9,0.7000 ,0.28 ,10
2016/10/6,19.90 ,870,2351,7320,115,530,9,1.0000 ,0.29 ,6
2016/10/9,19.90 ,870,2365,7326,115,530,9,1.0000 ,0.28 ,9
2016/10/12,19.90 ,854,2386,7311,115,531,9,0.8571 ,0.31 ,1
2016/10/15,19.90 ,823,2404,7299,115,530,9,0.8333 ,0.33 ,4
2016/10/18,19.90 ,815,2414,7301,114,530,9,1.0000 ,0.32 ,12
2016/10/21,19.90 ,809,2442,7284,114,529,9,0.8571 ,0.33 ,9
2016/10/24,19.90 ,875,2479,7281,114,530,9,0.7500 ,0.30 ,11
2016/10/27,19.90 ,936,2504,7274,113,532,9,1.0000 ,0.26 ,8
2016/10/30,19.90 ,1005,2551,7296,113,532,9,0.5000 ,0.26 ,14
2016/11/2,19.90 ,1036,2570,7309,113,533,9,1.0000 ,0.23 ,10
2016/11/5,19.90 ,1024,2595,7314,113,533,9,1.0000 ,0.24 ,9
2016/11/8,19.90 ,946,2646,7320,114,533,9,1.0000 ,0.24 ,6
2016/11/11,19.90 ,1555,2761,7313,114,533,9,0.9333 ,0.25 ,6
2016/11/14,19.90 ,1639,2807,7289,117,537,9,1.0000 ,0.23 ,17
2016/11/17,19.90 ,1603,2815,7231,115,535,9,1.0000 ,0.52 ,24
2016/11/20,19.90 ,1557,2824,7089,114,526,9,0.6364 ,0.59 ,18
2016/11/23,19.90 ,1482,2835,6935,111,521,9,1.0000 ,0.66 ,12
2016/11/26,19.90 ,1402,2849,6876,109,523,9,1.0000 ,0.71 ,5
2016/11/29,19.90 ,1431,2871,6834,109,523,9,0.9000 ,0.67 ,20
