,p,sale,collcet,cn_add,cn_z,picture,opening_hours,hp,tk,NNN,v1,v2
0,0,0,0,2,2,2,2,4,0,0,2,0
1,0,0,0,2,2,2,2,4,0,0,2,0
2,0,0,0,2,2,2,2,4,0,0,2,0
3,0,0,0,2,2,2,2,3,0,0,1,0
4,0,0,0,2,2,2,2,3,0,0,1,0
5,0,0,0,2,2,2,2,4,0,0,2,0
6,0,0,0,2,2,2,2,3,0,0,1,0
7,0,0,0,2,2,2,2,4,0,0,2,0
8,0,0,0,2,2,2,2,3,0,0,1,0
9,0,0,0,2,2,2,2,3,0,0,1,0
10,0,0,0,2,2,2,2,2,0,0,0,0
11,0,0,0,2,2,2,2,2,0,0,0,0
12,0,0,0,2,2,2,2,4,0,0,2,0
13,0,0,0,2,2,2,2,3,0,0,1,0
14,0,0,0,2,2,2,2,4,0,0,2,0
15,0,0,0,2,2,2,2,3,0,0,1,0
16,0,0,0,2,2,2,2,3,0,0,1,0
17,0,0,0,2,2,2,2,3,1,0,2,0
18,0,0,0,2,2,2,2,3,1,0,2,0
19,0,0,0,2,2,2,2,4,1,0,2,0
20,0,0,0,2,2,2,2,4,1,0,2,0
21,0,0,0,2,2,2,2,4,0,0,2,0
22,0,0,0,2,2,2,2,4,0,0,2,0
23,0,0,0,2,2,2,2,4,0,0,2,0
24,0,0,0,2,2,2,2,4,0,0,2,0
25,0,1,0,2,2,2,2,4,0,1,2,1
26,0,1,0,2,2,2,2,4,0,0,2,1
27,0,1,0,2,2,2,2,4,0,0,2,1
28,0,1,0,2,2,2,2,4,0,1,2,1
29,0,1,0,2,2,2,2,4,0,0,2,1
30,0,1,0,2,2,2,2,4,0,0,2,1
31,0,1,0,2,2,2,2,4,0,0,2,1
32,0,1,0,2,2,2,2,4,0,1,2,1
33,0,1,0,2,2,2,2,4,0,1,2,1
34,0,3,0,2,2,2,2,2,0,1,0,3
35,0,1,0,2,2,2,2,2,0,0,0,1
36,0,1,0,2,2,2,2,2,0,0,0,1
37,0,1,0,2,2,2,2,2,0,1,0,1
38,0,1,0,2,2,2,2,2,0,0,0,1
39,0,1,2,2,2,2,2,2,0,0,0,3
40,0,1,0,2,2,2,2,2,0,1,0,1
41,0,1,0,2,2,2,2,2,0,0,0,1
42,0,1,0,2,2,2,2,2,0,0,0,1
43,0,1,0,2,2,2,2,2,0,0,0,1
44,0,1,0,2,2,2,2,3,1,0,2,1
45,0,1,0,2,2,2,2,4,1,0,2,1
46,0,1,0,2,2,2,2,4,1,0,2,1
47,0,1,0,2,2,2,2,4,1,0,2,1
48,0,1,0,2,2,2,2,4,1,0,2,1
49,0,0,0,2,2,2,2,4,1,0,2,0
50,0,0,0,2,2,2,2,4,1,0,2,0
51,0,1,0,2,2,2,2,3,1,0,2,1
52,0,1,0,2,2,2,2,4,0,0,2,1
53,0,1,0,2,2,2,2,2,0,1,0,1
54,0,1,0,2,2,2,2,4,0,0,2,1
55,0,1,0,2,2,2,2,4,0,0,2,1
56,0,1,0,2,2,2,2,4,0,0,2,1
57,0,1,0,2,2,2,2,4,0,0,2,1
58,0,2,0,2,2,2,2,4,0,1,2,2
59,0,1,0,2,2,2,2,4,2,1,3,1
60,0,1,0,2,2,2,2,3,2,1,2,1
61,0,1,0,2,2,2,2,4,3,0,4,1
62,0,1,0,2,2,2,2,4,3,0,4,1
63,0,1,0,1,2,2,2,4,3,1,4,1
64,0,1,0,1,2,2,2,4,3,0,4,1
65,0,1,0,1,2,2,2,4,3,0,4,1
66,0,1,0,1,2,2,2,4,3,0,4,1
67,0,0,0,1,2,2,2,4,3,0,4,0
68,0,1,1,1,2,2,2,4,3,0,4,2
69,0,1,1,1,2,2,2,3,2,0,2,2
70,0,1,1,1,2,2,2,3,2,0,2,2
71,0,1,1,1,2,2,2,4,1,0,2,2
72,0,1,1,1,2,2,2,3,1,0,2,2
73,0,1,1,1,2,2,2,4,1,0,2,2
74,0,1,1,1,2,2,2,4,1,0,2,2
75,0,1,1,1,2,2,2,1,1,0,0,2
76,0,1,1,1,2,2,2,4,1,0,2,2
77,0,1,1,1,2,2,2,2,1,0,1,2
78,0,0,1,1,2,2,2,4,1,0,2,1
79,2,0,0,2,1,1,1,2,0,1,2,0
80,2,0,0,2,1,1,1,2,0,1,2,0
81,2,0,0,2,1,1,1,2,0,1,2,0
82,2,0,0,2,1,1,1,2,0,1,2,0
83,2,0,0,2,1,1,1,2,0,1,2,0
84,2,0,0,2,1,1,1,2,0,2,2,0
85,2,0,0,2,1,1,1,2,0,2,2,0
86,2,0,0,2,1,1,1,2,0,1,2,0
87,2,0,0,2,1,1,1,2,0,1,2,0
88,2,0,0,2,1,1,1,2,0,3,2,0
89,2,1,0,2,1,1,1,2,0,4,2,1
90,2,1,0,2,1,1,1,2,0,4,2,1
91,2,1,0,2,1,1,1,2,0,4,2,1
92,2,1,0,2,1,1,1,2,0,3,2,1
93,2,1,0,2,1,1,1,2,0,1,2,1
94,2,1,0,2,1,1,1,2,0,1,2,1
95,2,1,0,2,1,1,1,2,0,1,2,1
96,2,1,0,2,1,1,1,2,0,1,2,1
97,2,1,0,2,2,1,1,2,0,0,2,1
98,2,1,0,2,2,1,1,2,0,0,2,1
99,2,1,0,2,2,1,1,2,0,0,2,1
100,2,1,0,2,2,1,2,2,0,0,2,1
101,2,1,0,2,2,1,2,2,0,0,2,1
102,2,1,0,2,2,1,2,2,0,0,2,1
