,p,sale,collcet,cn_add,cn_z,picture,opening_hours,hp,tk,NNN
0,0,0,0,2,2,2,2,4,0,0
1,0,0,0,2,2,2,2,4,0,0
2,0,0,0,2,2,2,2,4,0,0
3,0,0,0,2,2,2,2,3,0,0
4,0,0,0,2,2,2,2,3,0,0
5,0,0,0,2,2,2,2,4,0,0
6,0,0,0,2,2,2,2,3,0,0
7,0,0,0,2,2,2,2,4,0,0
8,0,0,0,2,2,2,2,3,0,0
9,0,0,0,2,2,2,2,3,0,0
10,0,0,0,2,2,2,2,2,0,0
11,0,0,0,2,2,2,2,2,0,0
12,0,0,0,2,2,2,2,4,0,0
13,0,0,0,2,2,2,2,3,0,0
14,0,0,0,2,2,2,2,4,0,0
15,0,0,0,2,2,2,2,3,0,0
16,0,0,0,2,2,2,2,3,0,0
17,0,0,0,2,2,2,2,3,1,0
18,0,0,0,2,2,2,2,3,1,0
19,0,0,0,2,2,2,2,4,1,0
20,0,0,0,2,2,2,2,4,1,0
21,0,0,0,2,2,2,2,4,0,0
22,0,0,0,2,2,2,2,4,0,0
23,0,0,0,2,2,2,2,4,0,0
24,0,0,0,2,2,2,2,4,0,0
25,0,1,0,2,2,2,2,4,0,1
26,0,1,0,2,2,2,2,4,0,0
27,0,1,0,2,2,2,2,4,0,0
28,0,1,0,2,2,2,2,4,0,1
29,0,1,0,2,2,2,2,4,0,0
30,0,1,0,2,2,2,2,4,0,0
31,0,1,0,2,2,2,2,4,0,0
32,0,1,0,2,2,2,2,4,0,1
33,0,1,0,2,2,2,2,4,0,1
34,0,3,0,2,2,2,2,2,0,1
35,0,1,0,2,2,2,2,2,0,0
36,0,1,0,2,2,2,2,2,0,0
37,0,1,0,2,2,2,2,2,0,1
38,0,1,0,2,2,2,2,2,0,0
39,0,1,2,2,2,2,2,2,0,0
40,0,1,0,2,2,2,2,2,0,1
41,0,1,0,2,2,2,2,2,0,0
42,0,1,0,2,2,2,2,2,0,0
43,0,1,0,2,2,2,2,2,0,0
44,0,1,0,2,2,2,2,3,1,0
45,0,1,0,2,2,2,2,4,1,0
46,0,1,0,2,2,2,2,4,1,0
47,0,1,0,2,2,2,2,4,1,0
48,0,1,0,2,2,2,2,4,1,0
49,0,0,0,2,2,2,2,4,1,0
50,0,0,0,2,2,2,2,4,1,0
51,0,1,0,2,2,2,2,3,1,0
52,0,1,0,2,2,2,2,4,0,0
53,0,1,0,2,2,2,2,2,0,1
54,0,1,0,2,2,2,2,4,0,0
55,0,1,0,2,2,2,2,4,0,0
56,0,1,0,2,2,2,2,4,0,0
57,0,1,0,2,2,2,2,4,0,0
58,0,2,0,2,2,2,2,4,0,1
59,0,1,0,2,2,2,2,4,2,1
60,0,1,0,2,2,2,2,3,2,1
61,0,1,0,2,2,2,2,4,3,0
62,0,1,0,2,2,2,2,4,3,0
63,0,1,0,1,2,2,2,4,3,1
64,0,1,0,1,2,2,2,4,3,0
65,0,1,0,1,2,2,2,4,3,0
66,0,1,0,1,2,2,2,4,3,0
67,0,0,0,1,2,2,2,4,3,0
68,0,1,1,1,2,2,2,4,3,0
69,0,1,1,1,2,2,2,3,2,0
70,0,1,1,1,2,2,2,3,2,0
71,0,1,1,1,2,2,2,4,1,0
72,0,1,1,1,2,2,2,3,1,0
73,0,1,1,1,2,2,2,4,1,0
74,0,1,1,1,2,2,2,4,1,0
75,0,1,1,1,2,2,2,1,1,0
76,0,1,1,1,2,2,2,4,1,0
77,0,1,1,1,2,2,2,2,1,0
78,0,0,1,1,2,2,2,4,1,0
79,2,0,0,2,1,1,1,2,0,1
80,2,0,0,2,1,1,1,2,0,1
81,2,0,0,2,1,1,1,2,0,1
82,2,0,0,2,1,1,1,2,0,1
83,2,0,0,2,1,1,1,2,0,1
84,2,0,0,2,1,1,1,2,0,2
85,2,0,0,2,1,1,1,2,0,2
86,2,0,0,2,1,1,1,2,0,1
87,2,0,0,2,1,1,1,2,0,1
88,2,0,0,2,1,1,1,2,0,3
89,2,1,0,2,1,1,1,2,0,4
90,2,1,0,2,1,1,1,2,0,4
91,2,1,0,2,1,1,1,2,0,4
92,2,1,0,2,1,1,1,2,0,3
93,2,1,0,2,1,1,1,2,0,1
94,2,1,0,2,1,1,1,2,0,1
95,2,1,0,2,1,1,1,2,0,1
96,2,1,0,2,1,1,1,2,0,1
97,2,1,0,2,2,1,1,2,0,0
98,2,1,0,2,2,1,1,2,0,0
99,2,1,0,2,2,1,1,2,0,0
100,2,1,0,2,2,1,2,2,0,0
101,2,1,0,2,2,1,2,2,0,0
102,2,1,0,2,2,1,2,2,0,0
103,2,1,0,2,2,1,2,2,0,0
104,2,1,0,2,2,1,2,2,0,0
105,2,0,0,2,2,1,2,2,0,0
